name,extension,ip,region
Capital Centre,1011,192.168.30.15,Nairobi
Chania,1013,192.168.29.3,Nairobi
City Brands-Sarit,1060,192.168.34.3,Nairobi
City Brands-Store,1061,192.168.35.12,Nairobi
City Safari,1032,192.168.30.85,Nairobi
Eldoret,1024,192.168.13.7,Rift Valley
Expression,1002,192.168.3.9,Nairobi
Fragranz Mombasa,1026,192.168.17.5,Coast
Galleria Mall,,192.168.41.120,Nairobi
Garden City,1007,192.168.23.15,Nairobi
Habert PC,1031,192.168.20.214,Nairobi
Hazina,1014,192.168.28.11,Nairobi
Hilton,1003,192.168.1.59,Nairobi
HQ Server,,,HQ
Junction Mall,1030,192.168.8.15,Nairobi
Junction Store,1017,192.168.24.2,Nairobi
Kenyatta Avenue,1006,192.168.2.5,Nairobi
Kisumu Mega,1016,192.168.14.4,Nyanza
Kitengela BTS,,,Nairobi
Lavington,1010,192.168.15.15,Nairobi
Likoni,1045,192.168.7.4,Coast
Mama Ngina,1004,192.168.26.5,Nairobi
Meru,1033,192.168.33.3,Eastern
Moi Avenue Mombasa,1021,192.168.21.53,Coast
Nairobi Mega,1008,192.168.12.6,Nairobi
Naivasha,1019,192.168.16.2,Rift Valley
Nakuru,1020,192.168.11.7,Rift Valley
Nanyuki,1046,192.168.27.3,Central
Nyali A,1022,192.168.25.15,Coast
Nyali B,1023,192.168.17.15,Coast
Nyali Bazaar,1062,192.168.36.25,Coast
Runda Main,1053,192.168.37.8,Nairobi
Runda Perfume,1054,192.168.38.6,Nairobi
Sarit Centre,1009,192.168.10.56,Nairobi
Sarit Centre Annex,,192.168.10.120,Nairobi
The Hub Karen,1027,192.168.19.18,Nairobi
The Mall,1005,192.168.4.100,Nairobi
T-Mall,1012,192.168.32.152,Nairobi
United Mall-Kisumu,1034,192.168.31.3,Nyanza
Village Market,1025,192.168.5.10,Nairobi
Warehouse Server,1052,192.168.20.80,Nairobi
Westend,1018,192.168.22.5,Nairobi
Westend Perfume,1044,192.168.22.15,Nairobi
Willy PC,,192.168.20.57,Nairobi
